id,name,text
jpkana," yaheiSymbol"," ""Microsoft Jhenghei"""
0-synopsis,,災厄から幾許かの月日が経った頃、<span class='scene-font-place'>ポート・ブリーズ群島</span>では、主要な航路の復旧を機に“復興記念祭”が催されていた。そこには大災害に負けず、活気に溢れる逞しい空の民達の笑顔があった。一方その頃、謎の黒衣の男による凶刃がルシフェルの身を貫き、世界に再び危機が迫ろうとしていたのだった。
1,,<span class='scene-font-place'>ポート・ブリーズ群島</span><span class='scene-font-katari'>──</span><br><span class='scene-font-katari'>そこでは数発の号砲が鳴り響いていた。</span>
13,警備隊長,このとお～りです！<br>今一度ご検討を願えませぬか！？
14,卡塔莉娜,そ、そう言われましても……<br>あの時の指揮は非常事態でのこと。
15,卡塔莉娜,帝国に在籍していた頃も、<br>私の階級は中尉であって──
16,警備隊長,ですが負傷した私に代わり、<br>災厄の被害を最小限に留め、<br>警備隊を率いた手腕は名将そのもの！
17,警備隊長,貴方はまさに伝説の戦女神……<br>スフィリアの軍事顧問として、<br>どうか我々を導いて頂きたいのです！
18,卡塔莉娜,い、戦女神……？
22,拉卡姆,ぷはぁ～！<br>このキレ、やっぱ地酒は最高だぜ！
23,元悪党１,わかってるね～！<br>さすが天才操舵士のラカムさんだ！
24,拉卡姆,はっはっは、調子のいいヤツだぜ。<br>賞金首とかって追い回してたクセによ？
25,元悪党１,わ、悪かったって言ってんだろ。<br>あの災厄の時はテンション的によぉ……
26,欧根,そうだぜ、ラカム。<br>空の漢は過ぎた喧嘩でグズグズ言うな。
27,元悪党２,あざっす！<br>やっぱ歴戦の騎空士はシブいぜ……
28,元悪党２,ここは俺達が払わせて貰うんで！
29,欧根,お、そうか？<br>そんじゃあメニューの一番右端の頼む。
30,元悪党２,ウィッス！
31,元悪党２,……って、<br><span class='scene-font-4'>一杯5000ルピ！？</span>
35,伊欧,<span class='scene-font-4'>あ～！？</span><br>前に諦めたネックレスが半額だぁ！
36,伊欧,どうしよ～……？<br>他のお店も見て回りたいけど……
37,魔導士,お嬢さん、もういいかしら。<br>買わないなら私が買いたいんだけど。
38,伊欧,あ、ごめんなさい……<br>まだちょっと悩んでて……
39,魔導士,バーゲンセールで、<br>商品を持ちながら悩むのは反則よ？
40,魔導士,あと、そのネックレスは……<br>ちょっと言い辛いんだけど、<br>胸がないと輝かない気がするのよねえ。
41,伊欧,むッ……！？<br>そ、そんなの関係ないでしょ！<br>ありすぎても埋まっちゃうし？
42,魔導士,うッ……！？<br>た、確かにバランスは大事だけどぉ！
44,萝赛塔,あら。<br>じゃあアタシが買わせて頂こうかしら。<br>いつでもイオちゃんに貸せるしね？
45,伊欧,ロゼッタ！
46,魔導士,なっ……！
50,魔導士,か、完敗……
56,,<span class='scene-font-katari'>原初の星晶獣の生き残り、</span><br><span class='scene-font-katari'>天司にまつわる災厄の後、</span><br><span class='scene-font-katari'>幾許かの月日が経った空の世界。</span>
57,,<span class='scene-font-katari'>島々では順調に復興が進み、</span><br><span class='scene-font-katari'>航路の安全が確保された事を目途に……</span>
58,,<span class='scene-font-place'>ポート・ブリーズ</span><span class='scene-font-katari'>では今、</span><br><span class='scene-font-katari'>島々の代表者などを招き、</span><br><span class='scene-font-spword'>『復興記念祭』</span><span class='scene-font-katari'>が開催されていた。</span>
59,碧,あはは！<br>どこもかしこも凄ぇ賑やかだぜ！
60,露莉亚,そうですね！<br>あんなに大変な目に遭ったのに……<br>皆さん、とっても逞しいです。
61,碧,あぁ、頼もしいぜ！<br>それに被害状況も奇跡的だったってよ。
62,碧,怪我人は出たけど全員無事で、<br>ビックリするほど順調に治ったってさ。
63,露莉亚,不思議ですよね。<br>カタリナは天司さんが、えっと……<br>庇護？　していたのかもしれないって。
64,露莉亚,四大天司さんにルシフェルさん……<br>今頃、どこで何をしてるんでしょうか？
70,,<span class='scene-font-katari'>とある名もなき神殿──</span><br><span class='scene-font-katari'>そこは神秘的な静寂に包まれていた。</span>
71,,<span class='scene-font-katari'>何もない広い空間にはただ、</span><br><span class='scene-font-katari'>神々しい繭と思しき物体と、</span><br><span class='scene-font-katari'>背に六枚羽を携えた男が佇んでいた。</span>
72,路西菲尔,サンダルフォン……
78,圣德芬,ルシフェル様！<br>いらしていたんですね。
80,圣德芬,なぁ、ルシフェル。<br>君の司る<span class='scene-font-spword'>『進化』</span>に意味はあったか？
82,圣德芬,ルシフェル……！
88,路西菲尔,…………
89,路西菲尔,私の役割は……<br>終わりつつあるのかもしれない。
90,,<span class='scene-font-katari'>ルシフェルは繭に掌を当て、</span><br><span class='scene-font-katari'>語りかけるように言葉を重ねた。</span>
91,路西菲尔,君の心の変遷は、<br>空の世界を破壊する程の激情は、<br>私には予想できないものだった。
92,路西菲尔,だが……
93,路西菲尔,その君を阻止したのもまた、<br><span class='scene-font-spword'>特異点</span>を中心とする空の民の心だった。
94,路西菲尔,誰かを想い、誰かに想われる……<br>その力は私達天司の思惑を超えるのだ。
95,,<span class='scene-font-katari'>繭に指を滑らせながら、</span><br><span class='scene-font-katari'>ルシフェルは目を細め、</span><br><span class='scene-font-katari'>やがて決意したように口を開いた。</span>
96,路西菲尔,私は空の進化のために差配してきたが、<br>時として親の保護は子の成長を妨げる。
97,路西菲尔,……あるいは、歪める。
98,路西菲尔,…………
99,路西菲尔,私は<span class='scene-font-spword'>『最後の務め』</span>を終えた後……<br>空を自然のなりゆきに委ねようと思う。
100,路西菲尔,元素の均衡も進化の促進も、<br>あるいは滅亡の道を辿るとしても、<br>空の民に全てを還元するつもりだ。
101,路西菲尔,天司の役割も無用となり、<br>私も君と一緒の立場になるな……
103,路西菲尔,君はなんと言うだろうか。<br>やがて君が再び目を醒ました時に──
107,路西菲尔,…………！
108,,<span class='scene-font-katari'>それは一瞬の出来事だった。</span><br><span class='scene-font-katari'>ルシフェルが感知するより僅か先に、</span><br><span class='scene-font-katari'>凶刃が彼の胴を抉っていた。</span>
113,,<span class='scene-font-katari'>その凶刃を振るった主は、</span><br><span class='scene-font-katari'>ルシフェルの背後の空間、</span><br><span class='scene-font-katari'>そこに開いた虚空より足を踏み出した。</span>
114,黒衣の男,つまらぬ。<br>あまりにつまらぬ結論だ。
115,路西菲尔,…………
116,黒衣の男,無駄だ、修復は出来ぬ。
117,路西菲尔,……生きていたのか、久しいな。
118,黒衣の男,苦労したぞ。<br>途方もないほど永い時を<br>放浪させられた。
119,黒衣の男,現世では何千年前になる？<br>貴様に空の底に落とされてから……
120,黒衣の男,まぁ、構わぬ。<br>お陰で不滅を滅する力を得た。
121,路西菲尔,何が目的だ？<br>己の復讐か、「彼」の仇か？
122,黒衣の男,些末な事を。<br>無論<span class='scene-font-spword'>『ルシファーの遺産』</span>だ。<br>此処に封印している事はわかっている。
123,黒衣の男,貴様自身が鍵という事も。
124,路西菲尔,…………
125,,<span class='scene-font-katari'>黒衣の男は再び凶刃を振るい、</span><br><span class='scene-font-katari'>次はルシフェルの翼を切断する。</span>
129,黒衣の男,時代は変わる。<br>貴様が望もうと、望むまいと。
130,黒衣の男,フフフ……
131,,<span class='scene-font-katari'>こうして空の世界に再び、</span><br><span class='scene-font-katari'>新たな災厄が襲い掛からんとしていた。</span>
132,,<span class='scene-font-katari'>そして天司達の因縁もまた、再び──</span>
info,,