path,trans,duration,note
voice/3990743000_mypage1,露莉亚，这座城市有什么样的美食，一起去看看吧,5,姬塔
voice/3990743000_mypage2,拉卡姆，有什么我可以帮忙的吗？没问题的！我可是干劲满满的！,6,
voice/3990743000_mypage3,卡塔莉娜，要一起去万事屋接新任务吗？,4,
voice/3990743000_mypage4,想让欧根教我各种各样的事情呢。,3,
voice/3990743000_mypage5,伊欧，陪我练习魔法嘛！,3,
voice/3990743000_mypage6,呵呵，萝赛塔和尤格多拉希尔关系真好啊。,4,
voice/3990743000_mypage7,说起来，碧到底是什么呢……？……是龙？,4,
voice/3990743000_mypage8,父亲，会在哪里呢……？,2,
voice/3990741000_mypage1,露莉亚，一起去看看这片天空的尽头究竟有什么吧！,5,古兰
voice/3990741000_mypage2,拉卡姆，能教教我怎么保养枪支吗？,3,
voice/3990741000_mypage3,卡塔莉娜约我去试吃她做的料理……没问题吧……？,3,
voice/3990741000_mypage4,不知道欧根在像我这么大的时候经历过怎样的旅行呢……？,4,
voice/3990741000_mypage5,伊欧，可以教我魔法吗？……能让人露出笑容的魔法。,5,
voice/3990741000_mypage6,萝赛塔好像知道一些有关露莉亚的秘密……,3,
voice/3990741000_mypage7,我买了苹果回来，碧。不过和赞克汀泽的品种不太一样呢……,5,
voice/3990741000_mypage8,天空的尽头……约定之地……我绝对会追上你的，父亲。,6,
voice/3040150000_mypage1,用枪进行远距离火力压制……进行无从抵抗的压倒性攻击……团长，只要你原意，我会随时为你蹂躏世界的敌人，蹂躏你的敌人。,17,铳佐
voice/3040150000_mypage2,小龙的数量变多了？嗯，其实，如果我的魔力变强，龙的数量就会自然增加呢。呵呵，要给它们取什么名字呢，一起来想吧。,16,
voice/3040150000_mypage3,能化为人形，真的太好了。感谢你告诉我人类的喜悦。今后也一起前进吧。,15,
voice/3040153000_mypage1,我和你们只是因为利害一致而暂时共同行动罢了。就让我们在必要时刻并肩作战吧。,9,圣德芬
voice/3040153000_mypage2,特异点……我们曾经还是敌人……呵，所谓命运，真是不可思议。,10,
voice/3040153000_mypage3,为什么我喜欢咖啡？……毕竟我第一次喝咖啡已经是两千年以前了。……那种久远的事情，我早就忘了。,15,
voice/3040153000_s1_halloween_mypage1,万圣节快乐……只是随口说说而已。,3,圣德芬
voice/3040153000_s1_halloween_mypage2,不给糖果就捣蛋……我才没有觉得很欢快。,4,
voice/3040153000_s1_halloween_mypage3,两千年间我都是一个人，对于孤独，早就已经习惯了。,7,
voice/3040153000_s1_valentine_mypage1,情人节快乐。偶尔吃点甜食也不错啊。,4,情人节
voice/3040153000_s1_valentine_mypage2,谢谢你的礼物。什么啊，就算是我也是会道谢的。,5,
voice/3040121000_mypage1,手下留情真是很难做到啊~……。我还是觉得，全部一起砰地炸飞最好了☆,7,光佐仓
voice/3040121000_mypage3,父亲大人，母亲大人，不管你们怎么说，我都不会放弃这个想法的！,6,
voice/3040121000_mypage5,这件衣服，真是非常合身啊~我要是也能做到炼出这样的衣服就好了……,7,
voice/3040013000_mypage1,艾鲁斯特是个小国……不过是个很好的国家。,5,终突前
voice/3040013000_mypage2,看来我跟你们这样的好人很有缘分啊。,5,
voice/3040013000_mypage3,我一定要把祖国的复兴这事，告诉那个人。,4,
voice/3040013000_03_mypage1,小时候我曾经幻想过如果自己和亲人不是王族的话会怎样。\n不过完全没想到实际会变成那样。,11,终突后
voice/3040013000_03_mypage2,你问我母亲不在身边会不会寂寞，啊。\n……不寂寞呢。我身边有诺伊修和姐姐啊。\n意外的是，一开始就不在的话就不怎么会在意呢。,16,
voice/3040013000_03_mypage3,不管是葛姆·古拉斯还是蒂亚多拉大人的仪式，继承我的人们一定会需要它们的。为了那些人，不应该只靠口口相传，而应该制作资料保留下去啊。,15,
voice/3710017000_mypage1,来，姬塔。我们去夜晚的街上玩吧。唯有今晚要对姐姐大人和诺伊修，还有大家保密。,11,礼服皮
voice/3710017000_mypage2a,如果晚上你要出去玩的话，就由我来担当一夜的骑士吧。我们的团长如果出了什么事会让人很困扰的。,9,
voice/3710017000_mypage3,之前我说要去邻国视察游乐设施，然后姐姐大人就很高兴地准备起这套衣服了。我绝对不是去玩的啊……,11,
voice/3040013000_Valentine1,情人节快乐！,1,情人节
voice/3040013000_Valentine2,送给我巧克力？谢谢你的费心。,6,
voice/3040187000_mypage1,我从小就被身为猎人的父亲灌输了狙击的技巧。\n他跟我一起窝在山里好几天，教导我消除气息的方法还有判断气候的方法等技巧。\n虽然他很严格，但是托他的福才有现在的我。,17,光银
voice/3040187000_mypage2,哈——喝着热茶整个人就会放松下来，安下心呢。跟库库鲁、库姆优，还有你在一起的话，会更放松。,14，,
voice/3040187000_mypage3,我有时候会给重逢的双亲写信，他们好像很期待我写的旅行的记录。\n有几次我还在信里写了你的事……他们说你那么年轻还那么坚强，非常佩服。,18,
voice/3040031000_mypage1,呵呵，我的眼睛很厉害吧。\n……不过，没法看见跟大家一样的景色，还是有点……寂寞。,11,终突前
voice/3040031000_mypage2,咦？露莉亚去哪了？我找到一家看起来挺好吃的蛋糕店，想找她一起去……,7,
voice/3040031000_mypage3,呐，姬塔，我喜欢露玛茜群岛的景色。下个目的地选那儿怎么样？呵呵。,8,
voice/3040031000_03_mypage1,我……一直在思考，普通到底是什么……\n村子的普通……城市的普通……如果有什么违反了的话，是不是就没有容身之处了……\n不过，十天众和姬塔的骑空团接受了我的一切，我很高兴。,27,终突后
voice/3040031000_03_mypage2,席尔瓦说我的眼睛很厉害。因为平常跟人提起岛的另一端的人的事情的时候，别人经常会觉得很不愉快，所以我很惊讶她这么说。,12,
voice/3040031000_03_mypage3,因为多管闲事伤害了别人这种事情……不管过了多少年都忘不了呢。,6,
voice/3710072000_mypage1,真开心……谢谢你带我来海边，姬塔。,5,泳装皮
voice/3710072000_mypage2,这个泳装啊，是为了突出十天众的感觉，才选了白色的。不过我曾经犹豫过要不要选黑的……呵呵，好看吗？,10,
voice/3710072000_mypage3,如果有一天……可以和十天众的大家一起来度假就好了……,5,
voice/3040155000_mypage4,已确认团长以及格兰赛法其他成员的安全。由我来保护大家。,8,萝伯美
voice/3040155000_mypage2,这是士郎尚不成熟但付出了心血的技术结晶。这台机体是我的宝物。,8,
voice/3040155000_mypage3,如果，还能和贤治说话……,5,
voice/3030079000_Valentine1,情人节，快乐！,2,情人节
voice/3030079000_Valentine2,姬塔，我已成功购入了情人节用的巧克力。,5,
voice/3030079000_Valentine3,请求摄取情人节巧克力，请吃。,5,
voice/3040178000_mypage1,姬塔阁下，露莉亚阁下，碧君。我理解你们因为休假所以感觉整个人被解放的心情。但是还请注意不要玩得太过，吃得太多，避免之后身体出问题。,12,泳诺
voice/3040178000_mypage2,姬塔阁下，请问有什么事？……啊，我是不准备下水的。这样万一有什么事的话能立刻对应……呜哇！……不要泼我水啊！,16,
voice/3040178000_mypage3,斯卡哈，你不能太小看水。确实，真龙会溺水是很难想象的事，但现在只是临时的容器啊。……啊啊，等下！不要连准备活动都不做就跳进水里啊！,14,
voice/3040040000_mypage1,拯救世界……为了这个使命，我甚至可以抛弃生命。,6,终突前
voice/3040040000_mypage2,我并不喜欢战斗。我更喜欢做刺绣啊，做点心来过日子。\n……但是，为了保护人们，有时候战斗也是必需的。,12,
voice/3040040000_mypage3,我从碧大人身上感到……与过去给我启示的那个存在相同的气息……,6,
voice/3040040000_mypage4,为了成就大义，需要强大的力量。所谓强大的力量，是从每天努力积累中诞生的。,9,
voice/3040040000_03_mypage1,最初我收到了拯救世界的启示。但是，拯救世界到底是怎么回事，我甚至连这个都不明白。,14,终突后
voice/3040040000_03_mypage2,为了我没能拯救到的那些人，我也不会停下脚步。,6,
voice/3040040000_03_mypage3,我并不是喜欢战斗。即使如此，如果我拿起武器可以帮助到人们，那么也是逼不得已。,10,
voice/3040106000_mypage1,如果你想知道的话，我就告诉你这个世界的真相吧。,4,路西欧
voice/3040106000_mypage2,我的主人说过，我必须去成为为这个世界带来安宁和繁荣的光明……所以，就算是为了我，也请各位不要再争吵了！,15,
voice/3040106000_mypage3,我……做错了吗……,3,
voice/3040106000_mypage4,主人为何要将我创造得如此美丽呢……？,5,
voice/3040106000_s1_valentine1,情人节……吗？,2,情人节
voice/3040106000_s1_valentine2,把好意的象征用数量和金钱来衡量是值得羞愧的行为哦。,5,
voice/3040151000_mypage1,那个……记得姿势是这样……手是放在这里的吧，\n还有……sugar time love…你在看什么呢！,13,情人节小美
voice/3040151000_mypage2,喂你等等，你喜欢什么样的巧克力？\n巧克力种类很多我有点搞不清，\n我，我才不是想送你巧克力呢！别误会了！,15,
voice/3040151000_mypage3,虽然是因为情人节才穿的这衣服，人间的文化还是挺出人意料的呢，\n嘛，正因为是我穿的这衣服才显得这么合适呢！,11,
voice/3040084000_mypage1,天空么。让我想起离开故乡随便搭上一条船就走的时候啊。啊，当然是偷渡了。,9,艾尔
voice/3040084000_mypage2,我听说了。你经历过很多战场吧。哼……真不错，让我沸腾起来了。,10,
voice/3040084000_mypage3,喂，你快管管碧和露莉亚！让他们别来烦我了！……你笑什么啊！,8,
voice/3040092000_mypage1,团长，今晚有空吗？一起去看星星吧，肯定会很有趣的。,9,泳佐
voice/3040092000_mypage2,我想称霸海边所有的小吃摊位呢，你能陪我一起吗？,6,
voice/3040092000_mypage3,我喜欢被你抚摸下巴的感觉。不过不要太突然哦？否则我会吓到的。,9,
voice/3710048000_mypage1,经过与你一起旅行，我学到一件事。攻击有时候也会成为防御。\n为了保护世界的调停，可能会需要施展更加强大的力量吧。,18,zoe剑皮
voice/3710048000_mypage2,我的剑可以自由变换形状。铳、枪、斧、弓、短剑，还有其他各种……\n那些我都试了一遍，还是觉得剑用起来最合适。,17,
voice/3710048000_mypage3,盾牌我没有带来。不过你放心，我一定会用这把剑保护世界和你。,9,
voice/3710048000_v_038,要不要一起吃派？,2,
voice/3040063000_03_mypage1,托团长的福…我可能终于能认可自己了。谢谢你，团长。,10,mao
voice/3040063000_03_mypage2,被藏八的幻影囚禁、一直以来都迷失了自我。但是、从今以后我将真正地追寻至高境界,12,
voice/3040063000_03_mypage3,下次、不再和欧克托与芬芙酱一起聊天吗？我想一定会很有趣的,6,
voice/3040063000_mypage2,团长团长！和姐姐一起去锻炼吧！,5,
voice/3040063000_mypage4_b,呼…呼…呼啊啊？！想要瞑想的时候，又不知不觉睡着了啊…,13,
voice/3040063000_mypage1,阳光不错呀…呐、要不要和姐姐一起去晒太阳？,6,
voice/3040080000_mypage1b,嗯？怎么了，团长？很在意我的衣服么？ 呵呵呵，不要客气……。来吧……想看就看，想碰就碰……随你喜欢……,17,暗贞
voice/3040080000_mypage2,呜……啊、啊……！好烫……好痛苦……！！那团火还在我体内燃烧……将那座村庄、将人们……燃尽的业火……！！,15,
voice/3040080000_mypage3,啊……团长好温暖……这就是生者的体温呢。这样依靠着你，我就能感到冰冷的心得到了些许慰藉……拜托了……暂时让我靠一会儿吧。,19,
voice/3040137000_mypage1,让人类堕落，夺回失去的尊严。这就是我的目标。,8,阿萨谢尔
voice/3040137000_mypage2,怎么每个人都一脸傻样！切……所以你们这些人类啊！,5,
voice/3040137000_mypage3,如果你一个人做不到，就让我来控制你。在我怀中变为龙吧！,8,
voice/3040179000_mypage1,这件泳衣，是和安一起选的，那个...如何，合适吗？,9,泳装古雷雅
voice/3040179000_mypage2,哈...安身材这么好，穿什么都很合适，稍微有点羡慕呢,10,
voice/3040179000_mypage3,和大家一起来海边，很开心，能留下美好的回忆就好了,6,
voice/3040159000_mypage1,席尔瓦姐她超不喜欢麻烦别人的~不过前几天她终于肯叫我帮忙了，我好高兴来着。但是呢，我还要成为更加可靠的人，继续努力才行！,12,库库鲁
voice/3040159000_mypage2,团长真的很可靠啊~。我经常忘记你年纪比我还小呢。不过，你完全可以依靠库库鲁姐姐呀？来吧！对我尽情撒娇也可以哦？,15,
voice/3040159000_mypage3,果然很小……很小啊！！不不不，库库鲁姐姐也还在长身体嘛。今后也会变得像席尔瓦姐还有库姆优那样大……呜哇！？团、团长你在啊！？,12,
voice/3040089000_mypage1,团长团长！是海哦！是海滨哦！唔呼呼…和姐姐一起玩乐吧♪,7,泳mao
voice/3040089000_mypage2,啊、看见了看见了、好大的鱼！大海真是好厉害呀！那样的大只生物也能在在里面畅游…会很美味吗？,10,
voice/3040089000_mypage3,想要睡午觉的话、不管什么时候都可以说哦？姐姐可以给你膝枕哦,6,
voice/3040129000_mypage1,这衣服怎么样，团长，欸，很合适？\n唔呼呼，真开心，能被团长这样说，我会加油的！,14,泳装五花
voice/3040129000_mypage2,团长，状态如何？虽然会有很多困难，但是团长的话一定可以渡过难关的，所以，加油！,8,
voice/3040129000_mypage3,呐呐团长桑，就让你在这海边见识一下我最可爱的一面吧！,8,
voice/3040181000_mypage1_mix,该隐和蕾欧娜不知过得如何呢？\n那两人的话，应该无需担心吧。\n离开妾身这么久，也差不多感到寂寞了吧？要不要去看看他们呢？\n万万不可。绝不能入侵伊提巴。\n呵呵呵，别紧张，妾身只是开个玩笑。,21,芙利亚
voice/3040181000_mypage2_mix,这么一看，纳尔格兰德也有些稀奇的岛屿呢。\n听他们说，法塔格兰德的岛屿似乎更加特色鲜明。\n真想去团长他们的故乡看看。\n是啊，总有机会的。,19,
voice/3040181000_mypage3_mix,唔……哈……\n看着书睡着了么。如果我也来您身边躺下，您应该就不会着凉了吧。\n唔~……抓到你了！！\n唔……！原来您醒着么！,22,
voice/3040130000_mypage1,一个人弹奏时，两个人弹奏时，有人在聆听时，钢琴声都会发生变化。……呵呵，下次也让团长听听吧。,19,龙姬
voice/3040130000_mypage2,我和安约好了要四手联弹。……团长，要是有机会的话……来听我们演奏吧……,9,
voice/3040130000_mypage3,以前，我很害怕别人的目光，根本不会去户外玩耍……多亏了大家……我真的，非常感激。,13,
voice/3040050000_mypage1,喂，团长。赶紧出发去找下一个家臣。,3,炎帝
voice/3040050000_mypage2,菲德拉赫…么。没想到能再次听说这个名字。看来是时候给过去的留恋做个了断了。,11,
voice/3040050000_mypage3,我的两位兄长也各自在邻国修行。我很久没见到他们了。,7,
voice/3040050000_mypage4,你说你要帮助遇见的每一个人吧…。真是个令人无语的家伙。,10,
voice/3040050000_mypage5,你我孰强孰弱？……哼。不如现在就比试一下？,7,
voice/3040050000_03_v_304,哼，你也成长了许多啊。,3,终凸
voice/3040050000_03_v_305,为完成我的理想，助我一臂之力。,3,
voice/3040050000_03_ability_us3,我希望能和你一起实现理想。,3,
voice/3040050000_Valentine1,情人节快乐！,1,情人节
voice/3040050000_Valentine2,今天是情人节啊……不好意思，我不是很喜欢吃甜食。\n…………不要摆出那么伤心的表情！我知道了啦，你的我就特殊对待收下了。,18,
voice/3040050000_Valentine3,我明明不是很喜欢吃甜食，然而每年这段日子都会收到很多巧克力。尽管如此，也不忍心都扔掉，所以每年都给骑士团的伙伴们吃了。,12,
voice/3040177000_mypage1,一直很忙碌，来这样的度假胜地还真是很稀奇呢，要去的地方很多，能麻烦你带个路吗？,8,泳装教官
voice/3040177000_mypage2,集中精神，你们这些蛆虫！不管什么情况都要保持冷静！\n喂，那里的，看那个泳装的女人入迷了？\n哼，再加五十回腹肌练习！,12,
voice/3040177000_mypage3,哈啊……看着书不小心睡着了。\n嗯？贝阿和泽塔邀请我一起打沙滩排球？\n好吧！刚睡醒的我可不会输，有觉悟了吗！,19,
voice/3040115000_mypage1,我不擅长应付小孩子。露丽亚也好，欧尔姬丝也好，你也好，在我眼里都是小孩……我、我可没说讨厌啊。,12,火牛
voice/3040115000_mypage2,德朗克？也不知道他去哪儿了……喂 ，别以为来找我就能知道他的一切，烦死了。,11,
voice/3040115000_mypage3,我和德朗克，和雇主，都只是合同上的关系。对佣兵这个工作来说，报酬与合同就是一切。,11,
voice/3040090000_mypage1,美丽的白沙地，夏日灼热的阳光，冰凉的热带饮料流入干渴的喉中……一切都很完美。……除了他们几个……。喂，你们影响到我了，给我去别的地方吵。,26,泳装炎帝
voice/3040090000_mypage2,喂，你们听见了吗？……呃！？……你们……。竟敢用球砸我，急着送死么。兰斯洛特，蠢狗，给我站在那儿别动，我马上把你们烧成灰。,21,
voice/3040090000_mypage3,……什么？沙滩排球大赛？你们的沙滩排球差劲得要命吧。……切。你们暴露丑态的话，也有损我骑士的名号。喂，把球给我。好了，别废话，快把球给我。,24,
voice/3040110000_cutin2,哼哼，怎么样，我穿着泳衣的样子!,3,泳贝
voice/3040110000_mypage2,如何，这件泳衣合身吧！任务余暇到处找，好不容易才发现的！,7,
voice/3040110000_mypage3,下次就穿这件泳衣和大家去海边吧……\n不，但是那时候还有新的泳衣……,6,
voice/3040149000_mypage1,我是不是、不适合穿这么漂亮的裙子呢……好害羞……啊，不过……比起兔女郎总要……,14,画伯
voice/3040149000_mypage2,沸腾的观众，盛大的舞台……啊，太令人激动了！……不过，穿着这身衣服，总有些不安呢……你说很适合我？我倒不会不高兴，可是行动不便啊……算了，让对方一手吧！,29,
voice/3040149000_mypage3,团长和芬耶都在看的舞台……令人跃跃欲试！虽然有些紧张，但是期待更胜一筹！,11,
voice/3040027000_mypage1,呵呵呵，骑空艇上的旅行真是非常愉快啊！,4,羊
voice/3040027000_mypage2,嗯？我的角很少见？呵呵呵，这是我特有的角。它象征了我的使命。,11,
voice/3040027000_mypage3,各种各样的点心里，我还是最喜欢那种叫做羊羹的甜点啊。,5,
voice/3030110000_20180131_navi67,被炉暖暖的，真是个好东西呀。,5,
voice/scene_ult_chr106_ep1_q2_s20_25,呵呵呵呵呵，你这个小东西~,3,
voice/scene_ult_chr106_ep1_q2_s20_61,铛铛铛~铛铛铛~铛,3,
voice/3040038000_mypage1,你们心中流动的旋律，我很喜欢。,5,终突前
voice/3040038000_mypage2,你现在带着九界琴吗？一起来弹吧？,5,
voice/3040038000_mypage3,我听见很讨厌的声音，无论怎样都停不下来。,4,
voice/3040038000_03_mypage1,我觉得听不见别人内心的旋律有点轻松。因为如果那些多余的声音不再传到我的心中，那么进入人群应该也没有问题。,11,终突后
voice/3040038000_03_mypage2,我想要努力，让所有人都不用塞住耳朵。,5,
voice/3040038000_03_mypage3,九界琴给了我新的力量。我会为了你而使用它。,7,
voice/3040102000_mypage1,为什么不把头发盘起来？……我会盘的。只是如果盘得太紧，不好好梳的话就解不开了。魔法也不是万能的呢。,16,玉米
voice/3040102000_mypage2,为什么不吃玉米就无法发挥出力量？因为……玉米很美味？,10,
voice/3040102000_mypage3,肚子饿了……,2,
voice/3040154000_mypage1,原来如此。泳装这东西，也是考虑了很多才做出来的呢。确实，要是弄湿了多余的布料，衣服很重会很碍事。\n这样薄的穿着，在水边确实有用。但和盔甲相比，还是有点不放心……,19,泳贞
voice/3040154000_mypage2,入乡随俗，吗，话虽如此，虽然周围人都穿着泳装，我还没完全习惯，还觉得有点害羞……\n啊，不，要是能堂堂正正地就好了……,15,
voice/3040154000_mypage3,海边也好河川也好，水边是很容易发生事故的地方，游玩的时候一定要十分小心，团长。,7,
voice/3040175000_mypage1,无论什么时候都不会停下自主练习，先不说我自己，就算是伟大的音乐家也会把这当做很重要的事。但是，这也不仅仅是音乐是这样，团长也一定明白吧。,14,风小提琴
voice/3040175000_mypage2,这个乐器呢，是曾曾祖母流传下来的，虽然确实有一些老旧了，但是正因为这样有着非常温柔的音色。是我的宝物哟~,12,
voice/3040175000_mypage3,最近呢，已经不仅仅是演奏曲子了。想着自己是不是也能写一些新的曲子呢。虽然还不是很擅长...呐，如果可以的话能听一听吗？,16,